geometry,site_name,other_site_names,state,industry,matrix_type,matrix,year,pfoa,pfos,pfoa_pfos,total_pfas,pfas_level,notes,regulation_gvt_link,resources_link,suspected_source_link,pfas_testing_link,site_ref_link,state_ref_link,ObjectId,longitude,latitude
POINT (-69.1964111 44.2153469),Union Chemical Co,,Maine,Industry,Groundwater,Groundwater,2017.0,270,72,342,,342.0,N/A,N/A,https://www.maine.gov/dep/spills/topics/pfas/,N/A,https://www.maine.gov/dep/spills/topics/pfas/PFAS-current-results-06022020.pdf,N/A,https://drive.google.com/drive/u/0/folders/1RsSKYaEE8jqAw7pH05tDHRflkjUL3t5H,1,-69.1964111,44.2153469
POINT (-67.939506 47.1668725),Van Buren Wastewater Treatment Plant,,Maine,WWTP,Solid,Sludge,2019.0,21200,15800,37000,,37000.0,N/A,N/A,https://www.maine.gov/dep/spills/topics/pfas/,N/A,https://www.maine.gov/dep/spills/topics/pfas/PFAS-current-results-06022020.pdf,N/A,https://drive.google.com/drive/u/0/folders/1RsSKYaEE8jqAw7pH05tDHRflkjUL3t5H,2,-67.939506,47.1668725
POINT (-69.607983 44.465096),Vassalboro Landfill,,Maine,Landfill,Other Water,Drinking Water,2019.0,1,,1,4.0,4.0,N/A,N/A,https://www.maine.gov/dep/spills/topics/pfas/,N/A,https://www.maine.gov/dep/spills/topics/pfas/PFAS-current-results-06022020.pdf,N/A,https://drive.google.com/drive/u/0/folders/1RsSKYaEE8jqAw7pH05tDHRflkjUL3t5H,3,-69.607983,44.465096
POINT (-69.6136059 44.4494914),Vassalboro Sand Salt Storage Bld,,Maine,Industry,Other Water,Drinking Water,2019.0,1,,1,16.0,16.0,N/A,N/A,https://www.maine.gov/dep/spills/topics/pfas/,N/A,https://www.maine.gov/dep/spills/topics/pfas/PFAS-current-results-06022020.pdf,N/A,https://drive.google.com/drive/u/0/folders/1RsSKYaEE8jqAw7pH05tDHRflkjUL3t5H,4,-69.6136059,44.4494914
POINT (-70.236796 44.504692),Verso Paper,,Maine,Industry,Solid,Sludge,2019.0,,,,81300.0,81300.0,N/A,N/A,https://www.maine.gov/dep/spills/topics/pfas/,N/A,https://www.maine.gov/dep/spills/topics/pfas/PFAS-current-results-06022020.pdf,N/A,https://drive.google.com/drive/u/0/folders/1RsSKYaEE8jqAw7pH05tDHRflkjUL3t5H,5,-70.236796,44.504692
POINT (-70.2299523 43.8100852),Walnut Hill Road,,Maine,Unknown,Groundwater,Groundwater,2020.0,9,11,20,28.0,28.0,N/A,N/A,https://www.maine.gov/dep/spills/topics/pfas/,N/A,https://www.maine.gov/dep/spills/topics/pfas/PFAS-current-results-06022020.pdf,N/A,https://drive.google.com/drive/u/0/folders/1RsSKYaEE8jqAw7pH05tDHRflkjUL3t5H,6,-70.2299523,43.8100852
POINT (-69.701564 44.524174),Waterville Landfill,,Maine,Landfill,Other Water,Drinking Water,2019.0,,,,0.0,0.0,N/A,N/A,https://www.maine.gov/dep/spills/topics/pfas/,N/A,https://www.maine.gov/dep/spills/topics/pfas/PFAS-current-results-06022020.pdf,N/A,https://drive.google.com/drive/u/0/folders/1RsSKYaEE8jqAw7pH05tDHRflkjUL3t5H,7,-69.701564,44.524174
POINT (-70.3489 43.6929),Westbrook Wastewater Treatment Plant,,Maine,WWTP,Solid,Sludge,2019.0,1240,23000,24240,,24240.0,N/A,N/A,https://www.maine.gov/dep/spills/topics/pfas/,N/A,https://www.maine.gov/dep/spills/topics/pfas/PFAS-current-results-06022020.pdf,N/A,https://drive.google.com/drive/u/0/folders/1RsSKYaEE8jqAw7pH05tDHRflkjUL3t5H,8,-70.3489,43.6929
POINT (-70.2131067 44.592831),Wilton Wastewater Treatment Plant,,Maine,WWTP,Solid,Compost,2019.0,2110,3430,5540,,5540.0,N/A,N/A,https://www.maine.gov/dep/spills/topics/pfas/,N/A,https://www.maine.gov/dep/spills/topics/pfas/PFAS-current-results-06022020.pdf,N/A,https://drive.google.com/drive/u/0/folders/1RsSKYaEE8jqAw7pH05tDHRflkjUL3t5H,9,-70.2131067,44.592831
POINT (-68.84555 44.634776),Winterport Wastewater Treatment Plant,,Maine,WWTP,Solid,Sludge,2019.0,1600,2200,3800,,3800.0,N/A,N/A,https://www.maine.gov/dep/spills/topics/pfas/,N/A,https://www.maine.gov/dep/spills/topics/pfas/PFAS-current-results-06022020.pdf,N/A,https://drive.google.com/drive/u/0/folders/1RsSKYaEE8jqAw7pH05tDHRflkjUL3t5H,10,-68.84555,44.634776
